"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"16/07/2026";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/07/2026";"1400";"22,5";"23,0";"21,1";"40,0";"46,0";"38,0";"8,4";"9,4";"7,7";"966,7";"967,0";"966,6";"2,6";"76,0";"6,4";"2659,30";"0,0"
"16/07/2026";"1500";"23,3";"24,0";"22,4";"35,0";"40,0";"33,0";"7,1";"8,8";"6,6";"966,0";"966,7";"966,0";"2,2";"96,0";"6,8";"2896,50";"0,0"
"16/07/2026";"1600";"24,3";"24,8";"23,3";"33,0";"38,0";"31,0";"7,2";"8,4";"6,2";"965,1";"966,0";"965,1";"3,1";"98,0";"6,5";"2853,70";"0,0"
"16/07/2026";"1700";"25,3";"26,1";"24,3";"31,0";"33,0";"29,0";"7,1";"7,6";"6,2";"964,1";"965,2";"964,1";"3,0";"85,0";"6,7";"2604,10";"0,0"
"16/07/2026";"1800";"25,3";"26,2";"25,0";"31,0";"32,0";"28,0";"6,8";"7,5";"5,9";"963,2";"964,1";"963,2";"3,4";"92,0";"7,3";"2178,10";"0,0"
"16/07/2026";"1900";"25,2";"25,6";"25,1";"31,0";"32,0";"29,0";"6,8";"7,1";"6,1";"962,9";"963,2";"962,9";"3,1";"107,0";"7,1";"1584,70";"0,0"
"16/07/2026";"2000";"23,6";"25,4";"23,6";"34,0";"35,0";"29,0";"6,8";"7,2";"6,0";"963,0";"963,0";"962,8";"2,4";"90,0";"6,8";"781,20";"0,0"
"16/07/2026";"2100";"21,1";"23,6";"21,0";"43,0";"43,0";"34,0";"8,0";"8,0";"6,8";"963,6";"963,6";"963,0";"2,0";"95,0";"5,7";"88,50";"0,0"
"16/07/2026";"2200";"17,6";"21,1";"17,6";"58,0";"58,0";"43,0";"9,1";"9,1";"8,0";"963,9";"963,9";"963,5";"1,3";"123,0";"4,5";"";"0,0"
"16/07/2026";"2300";"16,2";"17,6";"15,5";"63,0";"68,0";"58,0";"9,3";"9,7";"9,1";"964,5";"964,5";"963,9";"1,7";"119,0";"2,9";"";"0,0"
