"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"10/07/2026";"0000";"17,8";"18,3";"17,6";"83,0";"86,0";"83,0";"14,8";"15,4";"14,8";"959,9";"959,9";"959,4";"0,8";"162,0";"2,1";"";"0,0"
"10/07/2026";"0100";"16,8";"17,8";"16,8";"90,0";"91,0";"83,0";"15,2";"15,4";"14,5";"960,4";"960,4";"959,9";"0,6";"16,0";"1,7";"";"0,0"
"10/07/2026";"0200";"16,5";"17,6";"16,3";"88,0";"91,0";"83,0";"14,5";"15,2";"14,4";"960,4";"960,5";"960,4";"0,7";"214,0";"3,6";"";"0,0"
"10/07/2026";"0300";"15,9";"16,5";"15,9";"91,0";"92,0";"88,0";"14,5";"14,9";"14,3";"960,2";"960,4";"960,2";"0,5";"317,0";"2,3";"";"0,0"
"10/07/2026";"0400";"15,0";"15,9";"15,0";"93,0";"94,0";"91,0";"13,8";"14,6";"13,8";"959,8";"960,2";"959,8";"0,2";"307,0";"1,3";"";"0,0"
"10/07/2026";"0500";"14,4";"15,0";"14,3";"94,0";"94,0";"93,0";"13,4";"13,9";"13,2";"959,5";"959,9";"959,5";"0,5";"178,0";"1,3";"";"0,0"
"10/07/2026";"0600";"13,9";"14,5";"13,9";"94,0";"94,0";"93,0";"12,9";"13,4";"12,8";"959,1";"959,5";"959,1";"0,6";"238,0";"1,0";"";"0,0"
"10/07/2026";"0700";"13,6";"13,9";"13,6";"94,0";"95,0";"94,0";"12,5";"13,0";"12,5";"959,2";"959,2";"958,9";"0,3";"266,0";"1,1";"";"0,0"
"10/07/2026";"0800";"13,4";"13,6";"13,3";"94,0";"94,0";"93,0";"12,6";"12,7";"12,3";"959,1";"959,2";"959,0";"0,2";"81,0";"1,7";"";"0,0"
"10/07/2026";"0900";"13,3";"13,5";"12,9";"94,0";"95,0";"94,0";"12,4";"12,7";"12,0";"959,5";"959,5";"959,1";"0,7";"253,0";"1,5";"";"0,0"
"10/07/2026";"1000";"13,6";"13,6";"13,2";"94,0";"95,0";"94,0";"12,7";"12,7";"12,3";"960,3";"960,3";"959,5";"0,5";"212,0";"2,0";"27,00";"0,0"
"10/07/2026";"1100";"16,7";"16,7";"13,6";"83,0";"94,0";"82,0";"13,9";"13,9";"12,7";"961,1";"961,1";"960,3";"1,2";"199,0";"2,3";"551,90";"0,0"
"10/07/2026";"1200";"20,4";"20,4";"16,6";"70,0";"83,0";"70,0";"14,8";"14,8";"13,4";"961,5";"961,5";"961,1";"0,8";"224,0";"2,0";"1384,10";"0,0"
"10/07/2026";"1300";"23,8";"23,8";"20,3";"57,0";"70,0";"56,0";"14,9";"14,9";"13,9";"961,5";"961,6";"961,5";"1,1";"72,0";"3,0";"2035,80";"0,0"
"10/07/2026";"1400";"25,4";"26,0";"23,8";"54,0";"58,0";"51,0";"15,4";"15,4";"14,5";"960,9";"961,5";"960,9";"1,4";"341,0";"4,1";"2441,30";"0,0"
"10/07/2026";"1500";"27,4";"27,7";"25,5";"47,0";"54,0";"47,0";"15,1";"15,9";"14,4";"959,7";"960,9";"959,7";"1,3";"259,0";"3,4";"2645,00";"0,0"
"10/07/2026";"1600";"28,5";"28,5";"27,0";"44,0";"50,0";"44,0";"15,2";"15,9";"14,5";"958,7";"959,7";"958,7";"1,3";"5,0";"3,0";"2237,70";"0,0"
"10/07/2026";"1700";"29,4";"29,9";"28,2";"36,0";"45,0";"34,0";"12,6";"15,4";"11,9";"957,7";"958,7";"957,7";"1,7";"134,0";"3,5";"2304,70";"0,0"
"10/07/2026";"1800";"29,7";"30,1";"28,8";"37,0";"38,0";"32,0";"13,5";"13,5";"11,7";"957,0";"957,7";"957,0";"1,3";"346,0";"3,5";"1946,40";"0,0"
"10/07/2026";"1900";"29,8";"30,5";"28,9";"33,0";"37,0";"31,0";"11,8";"12,7";"10,7";"956,6";"957,0";"956,5";"0,9";"150,0";"4,0";"1206,80";"0,0"
"10/07/2026";"2000";"26,3";"29,8";"26,3";"50,0";"50,0";"33,0";"15,1";"15,1";"12,0";"956,8";"956,8";"956,4";"1,0";"70,0";"3,2";"584,20";"0,0"
"10/07/2026";"2100";"21,9";"26,3";"21,9";"72,0";"72,0";"50,0";"16,6";"16,6";"14,6";"957,1";"957,2";"956,8";"0,3";"236,0";"1,3";"55,60";"0,0"
"10/07/2026";"2200";"20,2";"21,9";"20,2";"78,0";"79,0";"72,0";"16,3";"16,8";"16,0";"957,5";"957,5";"957,1";"0,8";"294,0";"2,0";"";"0,0"
"10/07/2026";"2300";"18,7";"20,2";"18,7";"85,0";"85,0";"78,0";"16,1";"16,3";"16,0";"958,1";"958,1";"957,5";"0,6";"274,0";"1,0";"";"0,0"
