"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"15/07/2026";"0000";"18,0";"20,9";"18,0";"82,0";"82,0";"70,0";"14,9";"15,3";"14,9";"960,7";"960,7";"959,8";"0,5";"301,0";"3,2";"";"0,0"
"15/07/2026";"0100";"19,2";"19,9";"17,3";"76,0";"86,0";"75,0";"15,0";"15,5";"14,9";"961,1";"961,1";"960,7";"0,8";"131,0";"3,6";"";"0,0"
"15/07/2026";"0200";"19,1";"19,2";"17,3";"78,0";"87,0";"76,0";"15,1";"15,4";"14,8";"961,4";"961,4";"961,1";"2,1";"85,0";"3,2";"";"0,0"
"15/07/2026";"0300";"17,7";"19,3";"17,4";"81,0";"84,0";"76,0";"14,5";"15,1";"14,3";"961,6";"961,7";"961,4";"1,7";"99,0";"4,2";"";"0,0"
"15/07/2026";"0400";"16,2";"18,3";"16,2";"89,0";"89,0";"79,0";"14,3";"14,8";"14,1";"961,8";"961,8";"961,6";"1,2";"87,0";"3,4";"";"0,0"
"15/07/2026";"0500";"14,8";"16,2";"14,8";"92,0";"92,0";"89,0";"13,5";"14,4";"13,3";"961,6";"961,8";"961,6";"0,4";"213,0";"2,0";"";"0,0"
"15/07/2026";"0600";"13,9";"14,8";"13,9";"93,0";"93,0";"92,0";"12,9";"13,5";"12,8";"961,4";"961,6";"961,4";"0,4";"264,0";"0,8";"";"0,0"
"15/07/2026";"0700";"13,6";"14,2";"13,6";"94,0";"94,0";"93,0";"12,7";"13,3";"12,5";"961,6";"961,6";"961,4";"0,6";"245,0";"1,1";"";"0,0"
"15/07/2026";"0800";"13,3";"14,1";"13,3";"94,0";"96,0";"93,0";"12,3";"13,5";"12,3";"961,8";"961,8";"961,6";"0,6";"258,0";"1,3";"";"0,0"
"15/07/2026";"0900";"13,8";"14,1";"13,2";"93,0";"95,0";"93,0";"12,6";"13,2";"12,2";"962,4";"962,5";"961,8";"1,4";"291,0";"2,4";"";"0,0"
"15/07/2026";"1000";"13,6";"14,3";"13,6";"95,0";"95,0";"93,0";"12,8";"13,4";"12,7";"963,3";"963,3";"962,4";"0,6";"256,0";"2,4";"25,40";"0,0"
"15/07/2026";"1100";"18,0";"18,0";"13,6";"77,0";"95,0";"76,0";"13,9";"14,8";"12,8";"963,9";"963,9";"963,3";"1,3";"118,0";"2,5";"607,10";"0,0"
"15/07/2026";"1200";"20,3";"20,3";"18,0";"62,0";"77,0";"62,0";"12,8";"14,0";"12,8";"964,5";"964,7";"963,9";"2,9";"99,0";"7,4";"1444,00";"0,0"
"15/07/2026";"1300";"22,4";"22,5";"20,3";"56,0";"62,0";"53,0";"13,1";"13,2";"12,4";"964,6";"964,7";"964,5";"2,8";"90,0";"8,5";"2111,80";"0,0"
"15/07/2026";"1400";"23,7";"23,9";"22,1";"49,0";"56,0";"48,0";"12,2";"13,2";"11,9";"964,4";"964,7";"964,4";"2,6";"119,0";"";"2576,90";"0,0"
"15/07/2026";"1500";"24,7";"25,2";"23,3";"43,0";"49,0";"43,0";"11,4";"12,6";"11,2";"963,6";"964,4";"963,5";"3,4";"80,0";"6,1";"2809,50";"0,0"
"15/07/2026";"1600";"26,0";"26,4";"24,6";"38,0";"46,0";"38,0";"10,8";"12,7";"10,7";"962,9";"963,6";"962,9";"2,2";"49,0";"6,1";"2767,50";"0,0"
"15/07/2026";"1700";"27,0";"27,2";"25,9";"35,0";"40,0";"35,0";"10,1";"11,7";"9,8";"961,8";"962,9";"961,8";"2,5";"104,0";"5,8";"2519,80";"0,0"
"15/07/2026";"1800";"27,4";"27,6";"26,4";"34,0";"37,0";"33,0";"10,2";"10,9";"9,2";"961,4";"961,8";"961,4";"1,9";"91,0";"5,8";"2097,90";"0,0"
"15/07/2026";"1900";"27,1";"27,6";"26,9";"33,0";"37,0";"32,0";"9,3";"10,8";"8,8";"961,1";"961,4";"961,0";"2,0";"96,0";"5,3";"1507,60";"0,0"
"15/07/2026";"2000";"25,6";"27,2";"25,6";"40,0";"40,0";"32,0";"11,0";"11,1";"9,5";"961,2";"961,3";"961,1";"1,8";"99,0";"4,3";"714,20";"0,0"
"15/07/2026";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2026";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2026";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
