"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"12/07/2026";"0000";"17,1";"17,6";"16,9";"84,0";"85,0";"77,0";"14,4";"14,5";"13,5";"957,4";"957,4";"957,0";"1,1";"63,0";"2,2";"";"0,0"
"12/07/2026";"0100";"16,5";"17,3";"16,5";"87,0";"88,0";"80,0";"14,4";"14,4";"13,8";"957,7";"957,8";"957,4";"0,4";"25,0";"2,2";"";"0,0"
"12/07/2026";"0200";"16,4";"17,0";"16,4";"88,0";"89,0";"85,0";"14,5";"14,8";"14,4";"957,8";"957,9";"957,7";"0,4";"256,0";"1,5";"";"0,0"
"12/07/2026";"0300";"16,5";"16,5";"16,2";"87,0";"90,0";"87,0";"14,4";"14,6";"14,3";"957,8";"957,9";"957,7";"0,9";"184,0";"1,9";"";"0,0"
"12/07/2026";"0400";"16,0";"16,5";"15,6";"88,0";"89,0";"87,0";"14,0";"14,4";"13,7";"957,4";"957,8";"957,4";"1,2";"304,0";"2,3";"";"0,0"
"12/07/2026";"0500";"15,6";"16,0";"15,6";"90,0";"90,0";"87,0";"13,9";"14,1";"13,8";"957,2";"957,5";"957,2";"0,4";"199,0";"2,3";"";"0,0"
"12/07/2026";"0600";"15,0";"15,6";"15,0";"91,0";"92,0";"90,0";"13,5";"13,9";"13,5";"956,9";"957,2";"956,8";"0,4";"155,0";"1,2";"";"0,0"
"12/07/2026";"0700";"15,8";"15,8";"14,9";"90,0";"92,0";"90,0";"14,2";"14,4";"13,5";"957,4";"957,4";"956,9";"0,7";"343,0";"2,8";"";"0,0"
"12/07/2026";"0800";"16,0";"16,4";"15,3";"89,0";"92,0";"89,0";"14,2";"14,8";"13,9";"957,8";"958,1";"957,4";"0,3";"222,0";"4,0";"";"0,0"
"12/07/2026";"0900";"15,6";"16,0";"15,3";"91,0";"92,0";"89,0";"14,1";"14,3";"13,8";"958,1";"958,2";"957,6";"0,5";"177,0";"2,9";"";"0,0"
"12/07/2026";"1000";"15,9";"16,0";"15,6";"91,0";"92,0";"89,0";"14,4";"14,4";"14,1";"958,7";"958,7";"958,1";"1,0";"82,0";"2,0";"15,50";"0,0"
"12/07/2026";"1100";"17,1";"17,1";"15,8";"84,0";"91,0";"84,0";"14,4";"14,8";"14,3";"959,4";"959,5";"958,7";"0,5";"234,0";"2,2";"262,10";"0,0"
"12/07/2026";"1200";"21,1";"21,1";"17,1";"65,0";"84,0";"65,0";"14,3";"15,1";"13,8";"959,4";"959,7";"959,4";"0,5";"22,0";"2,2";"1202,10";"0,0"
"12/07/2026";"1300";"24,8";"25,2";"21,1";"48,0";"65,0";"47,0";"13,2";"14,3";"11,6";"959,3";"959,4";"959,2";"0,7";"245,0";"1,8";"2039,60";"0,0"
"12/07/2026";"1400";"26,9";"27,1";"24,7";"44,0";"49,0";"43,0";"13,6";"14,1";"12,3";"958,8";"959,3";"958,8";"0,7";"80,0";"1,8";"2121,60";"0,0"
"12/07/2026";"1500";"29,4";"29,5";"26,8";"37,0";"45,0";"37,0";"13,4";"14,8";"13,1";"957,9";"958,8";"957,9";"0,6";"325,0";"2,3";"2259,70";"0,0"
"12/07/2026";"1600";"31,4";"31,7";"29,2";"35,0";"41,0";"33,0";"13,9";"15,5";"13,2";"956,7";"957,9";"956,7";"1,8";"344,0";"4,1";"2414,40";"0,0"
"12/07/2026";"1700";"31,1";"32,0";"30,2";"34,0";"41,0";"33,0";"13,3";"15,7";"13,3";"955,7";"956,7";"955,7";"2,2";"349,0";"4,7";"1659,30";"0,0"
"12/07/2026";"1800";"31,5";"32,3";"29,8";"33,0";"39,0";"30,0";"13,2";"14,8";"12,2";"955,4";"955,7";"955,4";"2,8";"359,0";"6,3";"1991,90";"0,0"
"12/07/2026";"1900";"29,3";"31,9";"29,1";"40,0";"43,0";"31,0";"14,1";"15,1";"12,8";"955,4";"955,5";"955,3";"2,0";"330,0";"5,3";"1031,10";"0,0"
"12/07/2026";"2000";"27,8";"31,1";"27,8";"46,0";"47,0";"35,0";"15,3";"15,5";"13,6";"955,5";"955,5";"955,3";"1,6";"329,0";"5,1";"594,10";"0,0"
"12/07/2026";"2100";"24,2";"27,8";"24,2";"61,0";"61,0";"46,0";"16,2";"16,2";"15,4";"955,9";"955,9";"955,5";"1,0";"319,0";"3,6";"48,10";"0,0"
"12/07/2026";"2200";"22,4";"24,2";"22,4";"67,0";"67,0";"61,0";"15,9";"16,5";"15,3";"956,4";"956,4";"955,9";"1,0";"310,0";"2,5";"";"0,0"
"12/07/2026";"2300";"22,3";"22,6";"21,9";"64,0";"70,0";"62,0";"15,1";"16,3";"14,8";"956,7";"956,7";"956,4";"1,1";"22,0";"2,7";"";"0,0"
