"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"17/07/2026";"0000";"18,4";"18,6";"16,2";"55,0";"63,0";"55,0";"9,2";"9,5";"9,1";"964,9";"964,9";"964,5";"2,7";"93,0";"6,0";"";"0,0"
"17/07/2026";"0100";"17,3";"18,4";"17,3";"60,0";"60,0";"55,0";"9,5";"9,5";"9,3";"965,1";"965,2";"964,9";"2,2";"109,0";"5,7";"";"0,0"
"17/07/2026";"0200";"17,0";"17,3";"16,0";"62,0";"66,0";"60,0";"9,6";"9,8";"9,4";"965,1";"965,2";"965,1";"2,4";"106,0";"5,0";"";"0,0"
"17/07/2026";"0300";"17,0";"17,1";"16,9";"62,0";"63,0";"61,0";"9,7";"9,7";"9,6";"965,0";"965,1";"964,9";"2,9";"101,0";"5,3";"";"0,0"
"17/07/2026";"0400";"16,3";"17,0";"16,3";"65,0";"65,0";"62,0";"9,8";"9,8";"9,7";"964,9";"965,1";"964,9";"2,7";"103,0";"5,3";"";"0,0"
"17/07/2026";"0500";"15,4";"16,4";"15,4";"70,0";"70,0";"65,0";"9,9";"10,0";"9,8";"964,7";"965,0";"964,7";"1,2";"113,0";"5,5";"";"0,0"
"17/07/2026";"0600";"12,6";"15,4";"12,6";"84,0";"84,0";"70,0";"9,9";"10,3";"9,6";"964,3";"964,7";"964,3";"0,5";"179,0";"2,9";"";"0,0"
"17/07/2026";"0700";"14,4";"14,4";"12,5";"77,0";"86,0";"77,0";"10,4";"10,6";"9,9";"964,1";"964,3";"964,1";"1,7";"102,0";"3,0";"";"0,0"
"17/07/2026";"0800";"12,6";"14,6";"12,6";"84,0";"84,0";"76,0";"9,9";"10,5";"9,6";"964,2";"964,2";"964,0";"0,9";"118,0";"3,7";"";"0,0"
"17/07/2026";"0900";"12,3";"12,7";"11,8";"86,0";"88,0";"84,0";"10,1";"10,3";"9,4";"964,5";"964,5";"964,2";"1,3";"332,0";"4,3";"";"0,0"
"17/07/2026";"1000";"12,1";"12,4";"11,2";"87,0";"90,0";"86,0";"10,1";"10,3";"9,4";"965,1";"965,1";"964,4";"0,6";"196,0";"3,0";"20,70";"0,0"
"17/07/2026";"1100";"15,3";"15,3";"12,0";"79,0";"87,0";"78,0";"11,6";"11,6";"9,8";"966,1";"966,1";"965,1";"1,9";"231,0";"3,2";"665,70";"0,0"
"17/07/2026";"1200";"20,2";"20,2";"15,3";"57,0";"79,0";"57,0";"11,3";"11,8";"11,1";"966,7";"966,7";"966,1";"1,0";"53,0";"3,3";"1514,80";"0,0"
"17/07/2026";"1300";"21,6";"21,9";"19,8";"48,0";"57,0";"47,0";"10,1";"11,1";"9,6";"966,9";"967,0";"966,7";"3,0";"70,0";"9,1";"2207,30";"0,0"
"17/07/2026";"1400";"22,8";"23,3";"21,3";"44,0";"49,0";"43,0";"9,9";"11,0";"9,5";"966,5";"966,9";"966,5";"3,1";"99,0";"8,0";"2695,60";"0,0"
"17/07/2026";"1500";"24,0";"24,0";"22,4";"40,0";"45,0";"39,0";"9,5";"10,5";"9,1";"965,4";"966,5";"965,4";"2,3";"57,0";"7,6";"2884,80";"0,0"
"17/07/2026";"1600";"25,0";"25,3";"23,5";"35,0";"42,0";"34,0";"8,4";"9,9";"8,4";"964,2";"965,4";"964,2";"2,9";"89,0";"7,2";"2745,00";"0,0"
"17/07/2026";"1700";"26,5";"26,5";"24,9";"32,0";"36,0";"31,0";"8,5";"8,8";"7,4";"963,0";"964,2";"963,0";"2,4";"62,0";"8,3";"2583,10";"0,0"
"17/07/2026";"1800";"27,0";"27,2";"26,1";"31,0";"33,0";"30,0";"8,6";"9,0";"7,2";"962,2";"963,0";"962,2";"1,8";"63,0";"5,7";"2151,40";"0,0"
"17/07/2026";"1900";"26,3";"27,0";"26,3";"33,0";"34,0";"30,0";"8,6";"9,3";"8,1";"961,7";"962,2";"961,7";"2,6";"93,0";"6,2";"1556,90";"0,0"
"17/07/2026";"2000";"24,4";"26,5";"24,4";"41,0";"41,0";"33,0";"10,1";"10,1";"8,5";"961,9";"961,9";"961,6";"3,2";"102,0";"7,4";"756,50";"0,0"
"17/07/2026";"2100";"21,7";"24,4";"21,7";"48,0";"48,0";"41,0";"10,2";"10,3";"10,0";"962,3";"962,3";"961,9";"2,3";"110,0";"6,4";"88,40";"0,0"
"17/07/2026";"2200";"19,4";"21,7";"19,4";"56,0";"56,0";"48,0";"10,3";"10,5";"10,1";"962,6";"962,6";"962,3";"2,2";"120,0";"4,5";"";"0,0"
"17/07/2026";"2300";"17,4";"19,4";"17,1";"64,0";"66,0";"56,0";"10,5";"10,9";"10,3";"963,0";"963,1";"962,6";"1,6";"130,0";"3,5";"";"0,0"
