"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"09/07/2026";"0000";"17,5";"20,5";"17,5";"83,0";"83,0";"66,0";"14,6";"14,6";"13,8";"960,9";"960,9";"960,2";"0,4";"301,0";"2,9";"";"0,0"
"09/07/2026";"0100";"16,5";"17,5";"16,5";"88,0";"89,0";"83,0";"14,5";"14,7";"14,5";"960,8";"960,9";"960,7";"0,5";"283,0";"1,1";"";"0,0"
"09/07/2026";"0200";"15,8";"16,5";"15,8";"89,0";"90,0";"88,0";"14,1";"14,5";"14,0";"960,6";"960,8";"960,6";"0,6";"287,0";"1,0";"";"0,0"
"09/07/2026";"0300";"15,6";"15,9";"15,6";"90,0";"90,0";"89,0";"14,0";"14,2";"14,0";"960,5";"960,7";"960,5";"1,0";"229,0";"2,6";"";"0,0"
"09/07/2026";"0400";"15,1";"15,6";"15,1";"91,0";"91,0";"90,0";"13,7";"14,0";"13,7";"960,2";"960,5";"960,2";"0,2";"179,0";"2,0";"";"0,0"
"09/07/2026";"0500";"14,7";"15,1";"14,7";"93,0";"93,0";"91,0";"13,5";"13,7";"13,5";"959,9";"960,2";"959,9";"0,5";"130,0";"1,0";"";"0,0"
"09/07/2026";"0600";"14,5";"15,1";"14,4";"92,0";"94,0";"91,0";"13,2";"14,0";"13,1";"959,9";"960,2";"959,9";"0,6";"276,0";"1,6";"";"0,0"
"09/07/2026";"0700";"14,6";"15,0";"14,5";"91,0";"93,0";"90,0";"13,2";"13,9";"13,1";"959,9";"960,0";"959,7";"0,8";"246,0";"2,2";"";"0,0"
"09/07/2026";"0800";"13,6";"14,7";"13,6";"93,0";"93,0";"91,0";"12,4";"13,3";"12,4";"960,0";"960,1";"959,8";"0,4";"176,0";"2,2";"";"0,0"
"09/07/2026";"0900";"13,1";"13,6";"13,1";"94,0";"95,0";"93,0";"12,2";"12,5";"12,1";"960,7";"960,7";"960,0";"0,6";"180,0";"1,2";"";"0,0"
"09/07/2026";"1000";"13,9";"13,9";"12,9";"95,0";"96,0";"94,0";"13,1";"13,1";"12,0";"961,0";"961,1";"960,6";"0,6";"229,0";"2,3";"47,70";"0,0"
"09/07/2026";"1100";"18,3";"18,3";"13,9";"78,0";"95,0";"78,0";"14,3";"14,7";"13,2";"961,5";"961,5";"961,0";"0,4";"87,0";"2,1";"668,00";"0,0"
"09/07/2026";"1200";"19,9";"19,9";"18,1";"70,0";"78,0";"68,0";"14,2";"14,5";"13,3";"962,0";"962,2";"961,5";"0,6";"8,0";"1,8";"1003,20";"0,0"
"09/07/2026";"1300";"23,5";"23,5";"19,8";"57,0";"71,0";"56,0";"14,3";"14,5";"13,6";"962,2";"962,4";"962,0";"1,6";"218,0";"3,0";"1903,40";"0,0"
"09/07/2026";"1400";"25,6";"26,1";"23,4";"47,0";"57,0";"46,0";"13,6";"14,4";"13,1";"961,6";"962,2";"961,6";"1,9";"111,0";"4,1";"2511,50";"0,0"
"09/07/2026";"1500";"28,3";"28,4";"25,5";"39,0";"48,0";"37,0";"13,2";"14,8";"12,4";"960,7";"961,6";"960,7";"1,2";"122,0";"4,2";"2784,40";"0,0"
"09/07/2026";"1600";"29,2";"29,5";"28,2";"33,0";"40,0";"32,0";"11,5";"13,7";"10,9";"959,4";"960,7";"959,4";"2,0";"145,0";"5,0";"2743,10";"0,0"
"09/07/2026";"1700";"30,3";"31,0";"28,8";"30,0";"34,0";"29,0";"10,7";"12,2";"10,6";"958,7";"959,5";"958,7";"0,9";"327,0";"4,8";"2490,00";"0,0"
"09/07/2026";"1800";"30,0";"30,9";"29,5";"31,0";"35,0";"30,0";"10,8";"12,2";"10,6";"958,0";"958,7";"958,0";"2,2";"210,0";"3,8";"1863,60";"0,0"
"09/07/2026";"1900";"30,4";"30,7";"29,6";"29,0";"31,0";"28,0";"10,2";"10,8";"10,0";"957,9";"958,0";"957,8";"1,3";"256,0";"3,8";"1429,20";"0,0"
"09/07/2026";"2000";"28,1";"30,9";"27,9";"47,0";"47,0";"29,0";"15,7";"15,7";"10,0";"958,2";"958,2";"957,8";"0,4";"253,0";"2,0";"611,40";"0,0"
"09/07/2026";"2100";"22,1";"28,0";"22,1";"69,0";"69,0";"47,0";"16,1";"16,8";"15,3";"958,7";"958,7";"958,2";"1,2";"197,0";"2,0";"35,30";"0,0"
"09/07/2026";"2200";"20,2";"22,1";"20,1";"69,0";"72,0";"67,0";"14,3";"16,1";"13,9";"959,0";"959,0";"958,7";"0,9";"33,0";"2,0";"";"0,0"
"09/07/2026";"2300";"18,3";"20,2";"18,3";"82,0";"82,0";"69,0";"15,2";"15,4";"14,3";"959,4";"959,4";"958,9";"0,5";"191,0";"1,7";"";"0,0"
