"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"14/07/2026";"0000";"19,6";"21,4";"19,6";"86,0";"86,0";"76,0";"17,3";"17,3";"17,1";"958,4";"958,4";"958,0";"0,7";"177,0";"1,9";"";"0,0"
"14/07/2026";"0100";"19,1";"20,1";"19,1";"88,0";"88,0";"85,0";"17,1";"17,4";"17,1";"959,0";"959,0";"958,4";"0,6";"203,0";"1,8";"";"0,0"
"14/07/2026";"0200";"18,7";"19,5";"18,7";"89,0";"90,0";"88,0";"16,9";"17,6";"16,9";"958,8";"959,1";"958,8";"0,5";"183,0";"2,2";"";"0,0"
"14/07/2026";"0300";"17,8";"18,7";"17,8";"92,0";"92,0";"89,0";"16,5";"17,1";"16,5";"958,9";"959,0";"958,8";"0,7";"206,0";"1,2";"";"0,0"
"14/07/2026";"0400";"17,4";"18,0";"17,3";"94,0";"94,0";"92,0";"16,4";"16,9";"16,1";"958,8";"959,0";"958,7";"0,7";"187,0";"2,2";"";"0,0"
"14/07/2026";"0500";"16,6";"17,4";"16,5";"94,0";"95,0";"93,0";"15,7";"16,4";"15,5";"958,6";"958,8";"958,5";"0,6";"208,0";"1,3";"";"0,0"
"14/07/2026";"0600";"16,3";"17,1";"16,3";"95,0";"96,0";"94,0";"15,5";"16,5";"15,5";"958,3";"958,6";"958,3";"0,8";"241,0";"2,0";"";"0,0"
"14/07/2026";"0700";"15,3";"16,3";"15,3";"96,0";"96,0";"95,0";"14,6";"15,6";"14,6";"958,6";"958,6";"958,3";"0,8";"153,0";"1,7";"";"0,0"
"14/07/2026";"0800";"14,8";"15,5";"14,8";"97,0";"97,0";"96,0";"14,3";"14,9";"14,3";"958,8";"958,9";"958,6";"0,6";"158,0";"1,5";"";"0,0"
"14/07/2026";"0900";"15,1";"15,1";"14,0";"97,0";"97,0";"96,0";"14,7";"14,7";"13,5";"959,3";"959,3";"958,8";"1,7";"234,0";"3,2";"";"0,0"
"14/07/2026";"1000";"15,6";"15,6";"15,1";"92,0";"97,0";"92,0";"14,2";"14,8";"14,2";"960,4";"960,4";"959,3";"2,1";"219,0";"4,2";"22,70";"0,0"
"14/07/2026";"1100";"17,3";"17,3";"15,6";"77,0";"92,0";"76,0";"13,2";"14,2";"13,0";"961,3";"961,3";"960,4";"2,0";"213,0";"4,2";"621,20";"0,0"
"14/07/2026";"1200";"19,7";"19,7";"17,3";"61,0";"77,0";"61,0";"12,0";"13,3";"12,0";"961,9";"961,9";"961,3";"1,7";"245,0";"4,6";"1456,80";"0,0"
"14/07/2026";"1300";"22,1";"22,7";"19,7";"53,0";"62,0";"51,0";"12,0";"12,6";"11,6";"961,8";"962,0";"961,8";"1,1";"207,0";"4,3";"2104,80";"0,0"
"14/07/2026";"1400";"24,9";"24,9";"22,0";"50,0";"53,0";"46,0";"13,7";"13,7";"11,8";"961,2";"961,8";"961,2";"2,1";"189,0";"4,3";"2572,60";"0,0"
"14/07/2026";"1500";"26,0";"26,3";"24,7";"48,0";"52,0";"47,0";"14,0";"14,7";"13,1";"960,6";"961,2";"960,6";"1,8";"187,0";"5,8";"2809,40";"0,0"
"14/07/2026";"1600";"27,7";"27,7";"25,7";"42,0";"49,0";"41,0";"13,7";"14,5";"13,1";"959,7";"960,6";"959,7";"1,8";"93,0";"4,3";"2765,50";"0,0"
"14/07/2026";"1700";"28,1";"29,2";"27,4";"35,0";"42,0";"34,0";"11,1";"13,6";"11,1";"958,8";"959,7";"958,8";"2,8";"175,0";"5,1";"2523,90";"0,0"
"14/07/2026";"1800";"29,4";"29,5";"28,0";"31,0";"35,0";"29,0";"10,6";"11,7";"9,4";"958,3";"958,8";"958,2";"1,1";"107,0";"5,1";"2083,60";"0,0"
"14/07/2026";"1900";"29,0";"29,8";"28,7";"34,0";"35,0";"30,0";"11,5";"12,2";"10,0";"958,0";"958,3";"958,0";"2,3";"133,0";"4,4";"1467,00";"0,0"
"14/07/2026";"2000";"27,9";"29,1";"27,9";"37,0";"37,0";"32,0";"11,7";"11,9";"10,5";"958,0";"958,0";"957,8";"1,6";"155,0";"4,7";"692,10";"0,0"
"14/07/2026";"2100";"21,3";"27,9";"21,3";"63,0";"63,0";"37,0";"14,0";"14,0";"11,7";"958,2";"958,2";"958,0";"0,9";"208,0";"3,0";"66,40";"0,0"
"14/07/2026";"2200";"21,7";"21,7";"19,5";"60,0";"74,0";"60,0";"13,6";"14,8";"13,4";"958,9";"958,9";"958,2";"2,0";"213,0";"3,5";"";"0,0"
"14/07/2026";"2300";"20,2";"22,0";"19,8";"71,0";"71,0";"60,0";"14,8";"15,2";"13,4";"959,8";"959,8";"958,9";"1,0";"222,0";"5,0";"";"0,0"
