"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"13/07/2026";"0000";"21,5";"22,3";"21,4";"73,0";"74,0";"64,0";"16,4";"16,5";"15,0";"957,0";"957,0";"956,7";"0,8";"309,0";"2,5";"";"0,0"
"13/07/2026";"0100";"22,7";"22,9";"21,5";"64,0";"73,0";"63,0";"15,7";"16,5";"15,3";"957,4";"957,4";"957,0";"1,2";"313,0";"2,6";"";"0,0"
"13/07/2026";"0200";"21,9";"23,4";"21,9";"67,0";"67,0";"58,0";"15,5";"15,9";"14,6";"957,5";"957,6";"957,2";"1,2";"291,0";"4,0";"";"0,0"
"13/07/2026";"0300";"20,3";"21,9";"20,2";"75,0";"77,0";"67,0";"15,7";"16,1";"15,3";"957,8";"957,8";"957,5";"0,7";"158,0";"2,1";"";"0,0"
"13/07/2026";"0400";"18,5";"20,4";"18,5";"85,0";"85,0";"74,0";"15,9";"16,0";"15,5";"957,2";"957,8";"957,2";"0,7";"127,0";"2,5";"";"0,0"
"13/07/2026";"0500";"18,1";"18,9";"18,1";"86,0";"86,0";"84,0";"15,7";"16,1";"15,7";"956,8";"957,2";"956,8";"0,6";"299,0";"1,5";"";"0,0"
"13/07/2026";"0600";"18,4";"18,4";"17,7";"88,0";"90,0";"86,0";"16,3";"16,4";"15,7";"956,3";"956,8";"956,3";"0,9";"303,0";"2,3";"";"0,0"
"13/07/2026";"0700";"17,3";"18,4";"17,3";"91,0";"91,0";"88,0";"15,9";"16,3";"15,9";"956,4";"956,4";"956,2";"0,6";"140,0";"2,1";"";"0,0"
"13/07/2026";"0800";"16,9";"17,4";"16,9";"93,0";"93,0";"91,0";"15,7";"16,0";"15,6";"956,6";"956,6";"956,4";"0,6";"307,0";"1,3";"";"0,0"
"13/07/2026";"0900";"17,2";"17,6";"16,9";"93,0";"93,0";"91,0";"15,9";"16,3";"15,7";"957,1";"957,1";"956,6";"0,7";"237,0";"2,1";"";"0,0"
"13/07/2026";"1000";"16,9";"17,2";"16,7";"93,0";"94,0";"93,0";"15,8";"16,0";"15,6";"957,8";"957,8";"957,0";"0,4";"284,0";"2,2";"31,60";"0,0"
"13/07/2026";"1100";"19,4";"19,4";"16,9";"85,0";"94,0";"85,0";"16,9";"17,0";"15,8";"958,0";"958,1";"957,8";"0,8";"301,0";"1,4";"345,70";"0,0"
"13/07/2026";"1200";"22,6";"22,7";"19,4";"67,0";"85,0";"67,0";"16,3";"17,1";"16,3";"958,8";"958,9";"958,0";"0,6";"307,0";"2,4";"944,30";"0,0"
"13/07/2026";"1300";"24,2";"24,3";"22,5";"64,0";"70,0";"63,0";"16,9";"17,3";"16,0";"959,3";"959,4";"958,8";"";"344,0";"2,5";"1229,60";"0,0"
"13/07/2026";"1400";"26,7";"26,7";"24,0";"53,0";"65,0";"53,0";"16,3";"17,2";"15,9";"958,8";"959,3";"958,8";"0,6";"87,0";"2,4";"1656,50";"0,0"
"13/07/2026";"1500";"28,4";"28,5";"26,6";"46,0";"53,0";"44,0";"15,7";"16,6";"15,0";"957,9";"958,8";"957,9";"1,5";"224,0";"3,9";"2036,40";"0,0"
"13/07/2026";"1600";"29,1";"29,8";"27,8";"43,0";"49,0";"43,0";"15,3";"16,3";"14,8";"956,9";"957,9";"956,9";"2,4";"192,0";"5,0";"2175,50";"0,0"
"13/07/2026";"1700";"30,3";"30,7";"28,9";"41,0";"46,0";"40,0";"15,6";"16,4";"15,2";"955,8";"956,9";"955,8";"1,4";"296,0";"4,9";"1632,70";"0,0"
"13/07/2026";"1800";"29,5";"30,8";"29,3";"42,0";"45,0";"39,0";"15,1";"16,8";"14,7";"955,4";"955,8";"955,4";"2,2";"267,0";"5,7";"1142,30";"0,0"
"13/07/2026";"1900";"29,3";"30,5";"29,0";"43,0";"43,0";"38,0";"15,4";"15,7";"14,5";"955,3";"955,4";"955,2";"1,4";"273,0";"5,4";"997,70";"0,0"
"13/07/2026";"2000";"28,4";"29,7";"28,4";"46,0";"46,0";"41,0";"15,7";"15,9";"14,7";"955,7";"955,7";"955,2";"1,9";"280,0";"4,5";"534,40";"0,0"
"13/07/2026";"2100";"25,5";"28,4";"25,5";"59,0";"59,0";"46,0";"17,0";"17,1";"15,8";"956,7";"956,7";"955,7";"2,5";"177,0";"7,8";"46,50";"0,0"
"13/07/2026";"2200";"21,9";"25,5";"21,9";"72,0";"72,0";"59,0";"16,7";"17,0";"16,4";"957,4";"957,4";"956,7";"1,9";"124,0";"6,5";"";"0,0"
"13/07/2026";"2300";"21,4";"21,9";"21,0";"76,0";"78,0";"72,0";"17,0";"17,1";"16,7";"958,0";"958,1";"957,4";"0,3";"99,0";"3,8";"";"0,0"
