"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"08/07/2026";"0000";"19,4";"21,5";"19,4";"76,0";"76,0";"63,0";"15,1";"15,2";"13,9";"959,6";"959,7";"959,2";"0,2";"160,0";"2,2";"";"0,0"
"08/07/2026";"0100";"18,5";"19,4";"18,5";"81,0";"81,0";"76,0";"15,2";"15,5";"14,9";"959,8";"959,9";"959,6";"0,3";"225,0";"1,2";"";"0,0"
"08/07/2026";"0200";"17,4";"18,8";"17,4";"86,0";"86,0";"79,0";"15,1";"15,3";"14,8";"959,9";"959,9";"959,7";"0,5";"202,0";"2,1";"";"0,0"
"08/07/2026";"0300";"16,7";"17,9";"16,6";"86,0";"88,0";"80,0";"14,3";"15,3";"14,2";"960,0";"960,1";"959,8";"1,1";"170,0";"2,8";"";"0,0"
"08/07/2026";"0400";"16,1";"16,7";"15,8";"89,0";"91,0";"86,0";"14,3";"14,5";"14,1";"959,6";"960,0";"959,6";"0,8";"271,0";"2,8";"";"0,0"
"08/07/2026";"0500";"15,3";"16,1";"15,3";"91,0";"91,0";"88,0";"13,8";"14,2";"13,8";"959,5";"959,8";"959,5";"1,1";"130,0";"1,9";"";"0,0"
"08/07/2026";"0600";"15,2";"15,3";"14,9";"91,0";"92,0";"91,0";"13,7";"14,0";"13,5";"959,4";"959,7";"959,4";"0,6";"197,0";"3,1";"";"0,0"
"08/07/2026";"0700";"14,6";"15,2";"14,5";"93,0";"93,0";"91,0";"13,5";"13,9";"13,4";"959,6";"959,6";"959,3";"0,7";"286,0";"1,7";"";"0,0"
"08/07/2026";"0800";"13,8";"14,6";"13,8";"94,0";"94,0";"93,0";"12,8";"13,5";"12,8";"959,9";"959,9";"959,5";"0,3";"218,0";"1,3";"";"0,0"
"08/07/2026";"0900";"13,5";"13,9";"13,4";"95,0";"95,0";"94,0";"12,7";"13,0";"12,6";"960,3";"960,3";"959,9";"0,6";"203,0";"1,2";"";"0,0"
"08/07/2026";"1000";"13,9";"13,9";"13,2";"96,0";"96,0";"95,0";"13,2";"13,2";"12,5";"961,0";"961,0";"960,3";"1,0";"238,0";"1,9";"25,00";"0,0"
"08/07/2026";"1100";"18,9";"18,9";"13,9";"79,0";"96,0";"79,0";"15,2";"15,6";"13,3";"961,7";"961,7";"961,0";"0,3";"121,0";"3,0";"550,70";"0,0"
"08/07/2026";"1200";"21,2";"21,2";"18,5";"66,0";"79,0";"66,0";"14,7";"15,2";"14,2";"962,4";"962,4";"961,7";"0,8";"214,0";"2,1";"1379,50";"0,0"
"08/07/2026";"1300";"23,9";"24,1";"21,1";"49,0";"66,0";"47,0";"12,4";"15,0";"12,1";"962,4";"962,5";"962,3";"1,6";"169,0";"3,3";"2039,40";"0,0"
"08/07/2026";"1400";"27,4";"27,4";"23,9";"37,0";"49,0";"37,0";"11,6";"13,2";"11,4";"962,1";"962,4";"962,1";"1,5";"184,0";"3,6";"2519,50";"0,0"
"08/07/2026";"1500";"28,2";"28,4";"27,1";"32,0";"37,0";"31,0";"9,9";"11,5";"9,5";"961,3";"962,1";"961,3";"2,0";"165,0";"4,5";"2766,80";"0,0"
"08/07/2026";"1600";"29,3";"29,9";"28,2";"30,0";"34,0";"28,0";"9,8";"10,8";"9,4";"960,3";"961,3";"960,3";"1,7";"152,0";"4,4";"2719,30";"0,0"
"08/07/2026";"1700";"29,9";"30,4";"29,2";"29,0";"31,0";"28,0";"9,8";"11,1";"9,2";"959,2";"960,4";"959,2";"1,5";"42,0";"4,0";"2449,20";"0,0"
"08/07/2026";"1800";"30,1";"31,0";"29,9";"29,0";"31,0";"27,0";"10,3";"11,1";"9,3";"958,8";"959,2";"958,8";"1,4";"39,0";"3,8";"1996,50";"0,0"
"08/07/2026";"1900";"30,0";"30,8";"29,6";"29,0";"30,0";"27,0";"10,1";"10,7";"9,0";"958,7";"958,8";"958,6";"1,1";"100,0";"3,5";"1423,70";"0,0"
"08/07/2026";"2000";"28,2";"30,4";"28,2";"35,0";"35,0";"27,0";"11,4";"11,4";"9,0";"959,0";"959,0";"958,7";"1,1";"228,0";"3,1";"618,60";"0,0"
"08/07/2026";"2100";"21,9";"28,2";"21,9";"62,0";"62,0";"35,0";"14,3";"14,6";"11,8";"959,4";"959,5";"959,0";"0,7";"173,0";"2,0";"40,20";"0,0"
"08/07/2026";"2200";"19,9";"21,9";"19,9";"71,0";"72,0";"62,0";"14,5";"14,7";"14,0";"959,7";"959,8";"959,4";"1,2";"207,0";"1,9";"";"0,0"
"08/07/2026";"2300";"20,4";"20,4";"19,6";"66,0";"72,0";"64,0";"13,8";"14,6";"13,1";"960,2";"960,2";"959,7";"1,5";"295,0";"2,4";"";"0,0"
