"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"18/07/2026";"0000";"17,7";"18,6";"17,3";"62,0";"64,0";"58,0";"10,2";"10,5";"10,1";"963,5";"963,5";"963,0";"1,3";"118,0";"4,2";"";"0,0"
"18/07/2026";"0100";"18,0";"18,3";"16,7";"60,0";"66,0";"59,0";"10,1";"10,5";"10,1";"963,7";"963,8";"963,5";"1,9";"96,0";"3,6";"";"0,0"
"18/07/2026";"0200";"16,9";"18,0";"16,2";"65,0";"68,0";"60,0";"10,3";"10,4";"10,0";"963,9";"964,0";"963,7";"2,3";"124,0";"5,6";"";"0,0"
"18/07/2026";"0300";"15,6";"16,9";"15,6";"71,0";"71,0";"65,0";"10,4";"10,5";"10,1";"963,7";"963,9";"963,7";"1,8";"154,0";"4,3";"";"0,0"
"18/07/2026";"0400";"13,6";"15,8";"13,6";"80,0";"80,0";"70,0";"10,2";"10,4";"10,2";"963,3";"963,7";"963,3";"0,5";"183,0";"3,9";"";"0,0"
"18/07/2026";"0500";"12,1";"13,6";"12,1";"88,0";"88,0";"80,0";"10,1";"11,2";"9,9";"962,9";"963,3";"962,8";"0,8";"264,0";"1,7";"";"0,0"
"18/07/2026";"0600";"11,7";"12,6";"11,6";"89,0";"90,0";"87,0";"10,0";"10,9";"9,8";"962,4";"962,9";"962,3";"0,6";"267,0";"1,8";"";"0,0"
"18/07/2026";"0700";"11,8";"12,0";"11,3";"89,0";"92,0";"88,0";"10,0";"10,4";"9,7";"962,4";"962,4";"962,3";"0,9";"245,0";"1,9";"";"0,0"
"18/07/2026";"0800";"12,2";"13,0";"11,8";"87,0";"89,0";"84,0";"10,1";"10,5";"9,8";"962,8";"962,8";"962,4";"0,6";"283,0";"2,5";"";"0,0"
"18/07/2026";"0900";"11,6";"12,2";"11,6";"89,0";"90,0";"87,0";"9,8";"10,4";"9,7";"963,6";"963,6";"962,8";"1,2";"267,0";"2,7";"";"0,0"
"18/07/2026";"1000";"12,7";"12,7";"11,6";"85,0";"89,0";"85,0";"10,3";"10,3";"9,7";"964,3";"964,3";"963,6";"1,4";"260,0";"4,1";"20,40";"0,0"
"18/07/2026";"1100";"16,2";"16,2";"12,7";"73,0";"85,0";"73,0";"11,4";"11,4";"10,3";"964,6";"964,6";"964,3";"1,5";"257,0";"4,1";"674,20";"0,0"
"18/07/2026";"1200";"19,8";"19,9";"16,2";"60,0";"73,0";"60,0";"11,8";"12,1";"11,1";"964,7";"964,7";"964,6";"1,2";"94,0";"3,7";"1499,10";"0,0"
"18/07/2026";"1300";"22,4";"22,8";"19,8";"52,0";"60,0";"51,0";"12,0";"12,7";"11,4";"964,7";"964,8";"964,7";"3,5";"71,0";"7,6";"2152,20";"0,0"
"18/07/2026";"1400";"24,0";"24,1";"22,4";"48,0";"52,0";"47,0";"12,3";"12,6";"11,4";"964,3";"964,7";"964,3";"3,5";"52,0";"7,8";"2670,30";"0,0"
"18/07/2026";"1500";"24,6";"24,6";"23,7";"44,0";"48,0";"43,0";"11,6";"12,3";"11,2";"963,2";"964,3";"963,2";"3,1";"47,0";"8,5";"2903,90";"0,0"
"18/07/2026";"1600";"25,8";"25,8";"24,6";"40,0";"45,0";"39,0";"11,2";"12,1";"10,6";"961,8";"963,2";"961,8";"3,0";"52,0";"7,5";"2842,00";"0,0"
"18/07/2026";"1700";"26,7";"26,8";"25,7";"36,0";"42,0";"34,0";"10,6";"12,5";"9,9";"960,7";"961,8";"960,7";"2,6";"47,0";"6,7";"2585,30";"0,0"
"18/07/2026";"1800";"27,0";"27,4";"26,5";"37,0";"39,0";"34,0";"10,8";"11,5";"9,8";"960,1";"960,7";"960,1";"2,1";"69,0";"6,0";"2141,90";"0,0"
"18/07/2026";"1900";"27,0";"27,5";"26,9";"36,0";"38,0";"33,0";"10,5";"11,5";"9,7";"959,3";"960,1";"959,3";"2,4";"83,0";"5,9";"1557,60";"0,0"
"18/07/2026";"2000";"25,9";"27,4";"25,9";"41,0";"41,0";"34,0";"11,5";"11,6";"9,9";"959,2";"959,3";"959,1";"2,2";"91,0";"5,7";"764,70";"0,0"
"18/07/2026";"2100";"22,6";"26,0";"22,6";"49,0";"50,0";"38,0";"11,5";"11,8";"10,8";"959,5";"959,5";"959,2";"1,5";"117,0";"4,4";"89,10";"0,0"
"18/07/2026";"2200";"18,1";"22,6";"18,1";"73,0";"73,0";"50,0";"13,3";"13,3";"11,5";"960,0";"960,0";"959,5";"1,1";"108,0";"2,4";"";"0,0"
"18/07/2026";"2300";"16,3";"18,1";"16,3";"81,0";"81,0";"72,0";"13,1";"13,2";"12,8";"960,4";"960,4";"960,0";"0,8";"89,0";"2,1";"";"0,0"
