"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"11/07/2026";"0000";"17,7";"18,7";"17,6";"85,0";"88,0";"85,0";"15,2";"16,1";"15,2";"958,2";"958,2";"958,0";"1,1";"141,0";"2,8";"";"0,0"
"11/07/2026";"0100";"16,9";"17,7";"16,9";"90,0";"90,0";"85,0";"15,2";"15,3";"15,1";"958,2";"958,3";"958,2";"0,2";"89,0";"2,8";"";"0,0"
"11/07/2026";"0200";"16,1";"16,9";"16,1";"91,0";"91,0";"90,0";"14,7";"15,1";"14,7";"958,1";"958,2";"958,1";"0,5";"339,0";"0,8";"";"0,0"
"11/07/2026";"0300";"15,3";"16,1";"15,3";"93,0";"93,0";"91,0";"14,2";"14,8";"14,1";"958,0";"958,2";"957,9";"0,4";"217,0";"1,3";"";"0,0"
"11/07/2026";"0400";"15,2";"15,4";"15,0";"93,0";"94,0";"93,0";"14,2";"14,3";"13,8";"958,1";"958,1";"958,0";"0,7";"284,0";"1,4";"";"0,0"
"11/07/2026";"0500";"14,5";"15,4";"14,5";"94,0";"94,0";"93,0";"13,5";"14,4";"13,4";"957,9";"958,1";"957,8";"0,3";"166,0";"1,4";"";"0,0"
"11/07/2026";"0600";"14,2";"14,7";"14,2";"94,0";"95,0";"94,0";"13,2";"13,9";"13,2";"957,8";"957,9";"957,8";"0,7";"154,0";"1,0";"";"0,0"
"11/07/2026";"0700";"14,2";"14,4";"14,1";"95,0";"95,0";"94,0";"13,4";"13,6";"13,2";"958,0";"958,0";"957,7";"0,2";"97,0";"1,1";"";"0,0"
"11/07/2026";"0800";"13,5";"14,2";"13,5";"95,0";"95,0";"95,0";"12,7";"13,4";"12,7";"958,0";"958,1";"957,9";"0,3";"222,0";"0,7";"";"0,0"
"11/07/2026";"0900";"13,4";"13,5";"13,2";"95,0";"95,0";"95,0";"12,7";"12,7";"12,4";"958,8";"958,8";"958,0";"0,8";"102,0";"1,7";"";"0,0"
"11/07/2026";"1000";"13,2";"13,4";"12,9";"96,0";"96,0";"95,0";"12,6";"12,7";"12,1";"959,3";"959,3";"958,7";"0,9";"178,0";"1,7";"27,40";"0,0"
"11/07/2026";"1100";"16,6";"16,7";"13,2";"83,0";"96,0";"83,0";"13,8";"14,2";"12,6";"960,4";"960,4";"959,3";"1,1";"238,0";"2,3";"557,60";"0,0"
"11/07/2026";"1200";"19,6";"19,6";"16,6";"72,0";"84,0";"72,0";"14,5";"14,7";"13,8";"960,8";"960,9";"960,4";"1,2";"197,0";"2,4";"1381,50";"0,0"
"11/07/2026";"1300";"23,0";"23,1";"19,6";"55,0";"72,0";"55,0";"13,5";"14,6";"13,5";"960,7";"960,9";"960,7";"";"";"4,2";"1997,10";"0,0"
"11/07/2026";"1400";"25,9";"26,4";"22,8";"46,0";"56,0";"45,0";"13,3";"14,5";"13,0";"959,9";"960,7";"959,9";"1,0";"335,0";"";"2432,60";"0,0"
"11/07/2026";"1500";"28,9";"28,9";"25,9";"38,0";"46,0";"35,0";"13,1";"14,2";"11,7";"958,9";"959,9";"958,9";"0,8";"300,0";"2,4";"2758,90";"0,0"
"11/07/2026";"1600";"30,3";"31,2";"28,9";"27,0";"38,0";"24,0";"8,9";"13,2";"8,2";"957,7";"958,9";"957,7";"1,4";"263,0";"3,0";"2777,40";"0,0"
"11/07/2026";"1700";"31,7";"31,8";"29,9";"18,0";"27,0";"16,0";"4,7";"9,3";"2,6";"956,6";"957,7";"956,6";"1,0";"12,0";"3,3";"2486,30";"0,0"
"11/07/2026";"1800";"31,1";"32,1";"30,8";"19,0";"22,0";"17,0";"5,0";"6,8";"3,7";"955,9";"956,6";"955,9";"0,6";"154,0";"3,4";"1977,40";"0,0"
"11/07/2026";"1900";"30,3";"31,6";"30,2";"33,0";"34,0";"19,0";"12,1";"12,4";"4,9";"955,8";"955,9";"955,7";"0,8";"87,0";"2,2";"1394,80";"0,0"
"11/07/2026";"2000";"24,3";"30,7";"24,3";"52,0";"53,0";"21,0";"13,9";"14,5";"6,5";"955,9";"955,9";"955,7";"0,3";"7,0";"1,6";"398,40";"0,0"
"11/07/2026";"2100";"21,3";"24,3";"21,3";"72,0";"72,0";"53,0";"16,0";"16,4";"14,1";"956,2";"956,2";"956,0";"0,4";"263,0";"0,8";"39,10";"0,0"
"11/07/2026";"2200";"19,0";"21,3";"19,0";"79,0";"79,0";"71,0";"15,3";"16,1";"14,8";"956,4";"956,5";"956,2";"0,7";"267,0";"2,3";"";"0,0"
"11/07/2026";"2300";"17,5";"19,0";"17,5";"81,0";"82,0";"79,0";"14,2";"15,3";"13,9";"957,0";"957,0";"956,4";"0,7";"191,0";"1,1";"";"0,0"
