"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"19/07/2026";"0000";"15,5";"16,3";"15,4";"84,0";"84,0";"80,0";"12,7";"13,1";"12,6";"960,8";"960,8";"960,4";"1,2";"113,0";"2,1";"";"0,0"
"19/07/2026";"0100";"14,8";"15,5";"14,8";"83,0";"84,0";"83,0";"12,1";"12,6";"12,1";"960,9";"960,9";"960,8";"1,4";"141,0";"2,5";"";"0,0"
"19/07/2026";"0200";"15,6";"16,4";"14,8";"78,0";"83,0";"75,0";"11,7";"12,3";"11,7";"960,9";"960,9";"960,7";"0,6";"279,0";"2,5";"";"0,0"
"19/07/2026";"0300";"13,9";"15,6";"13,7";"87,0";"87,0";"78,0";"11,8";"11,9";"11,5";"961,3";"961,3";"960,9";"0,9";"151,0";"2,0";"";"0,0"
"19/07/2026";"0400";"13,2";"13,9";"13,1";"89,0";"90,0";"87,0";"11,4";"11,8";"11,4";"961,2";"961,4";"961,2";"0,9";"200,0";"1,9";"";"0,0"
"19/07/2026";"0500";"12,7";"14,2";"12,7";"89,0";"90,0";"83,0";"11,0";"11,8";"10,7";"960,9";"961,2";"960,9";"0,6";"170,0";"1,9";"";"0,0"
"19/07/2026";"0600";"13,0";"13,0";"12,1";"91,0";"92,0";"89,0";"11,6";"11,7";"10,7";"960,8";"960,9";"960,8";"0,5";"228,0";"1,6";"";"0,0"
"19/07/2026";"0700";"12,3";"13,0";"12,2";"92,0";"92,0";"89,0";"11,1";"11,5";"10,7";"960,8";"960,8";"960,7";"0,6";"257,0";"1,4";"";"0,0"
"19/07/2026";"0800";"12,4";"12,8";"12,2";"91,0";"92,0";"89,0";"11,0";"11,3";"10,5";"961,1";"961,1";"960,8";"1,0";"291,0";"1,7";"";"0,0"
"19/07/2026";"0900";"11,6";"12,4";"11,4";"92,0";"94,0";"89,0";"10,4";"11,0";"9,9";"961,3";"961,4";"961,1";"0,8";"263,0";"1,9";"";"0,0"
"19/07/2026";"1000";"13,4";"13,4";"11,6";"87,0";"93,0";"87,0";"11,2";"11,2";"10,3";"961,9";"961,9";"961,3";"1,5";"245,0";"3,2";"21,20";"0,0"
"19/07/2026";"1100";"17,0";"17,0";"13,4";"79,0";"87,0";"79,0";"13,4";"13,4";"11,2";"962,2";"962,3";"961,9";"1,0";"238,0";"2,9";"672,10";"0,0"
"19/07/2026";"1200";"21,3";"21,3";"17,0";"66,0";"79,0";"66,0";"14,8";"14,8";"13,4";"962,4";"962,4";"962,2";"1,7";"77,0";"4,1";"1497,50";"0,0"
"19/07/2026";"1300";"23,6";"23,8";"21,3";"53,0";"66,0";"52,0";"13,4";"14,7";"12,7";"962,5";"962,5";"962,3";"2,9";"77,0";"8,5";"2213,00";"0,0"
"19/07/2026";"1400";"24,3";"24,3";"23,2";"47,0";"53,0";"47,0";"12,3";"13,5";"12,2";"962,5";"962,6";"962,4";"3,2";"79,0";"8,3";"2661,00";"0,0"
"19/07/2026";"1500";"25,8";"25,9";"24,0";"40,0";"47,0";"40,0";"11,3";"12,4";"11,0";"961,0";"962,4";"961,0";"3,0";"56,0";"7,2";"2892,20";"0,0"
"19/07/2026";"1600";"26,9";"27,3";"25,8";"36,0";"41,0";"35,0";"10,4";"11,9";"10,2";"959,7";"961,0";"959,7";"2,5";"51,0";"6,1";"2850,00";"0,0"
"19/07/2026";"1700";"28,0";"28,3";"26,8";"31,0";"38,0";"31,0";"9,3";"11,6";"9,0";"958,5";"959,7";"958,5";"2,0";"93,0";"6,5";"2595,00";"0,0"
"19/07/2026";"1800";"28,1";"28,5";"27,7";"30,0";"33,0";"29,0";"8,9";"10,0";"8,7";"957,9";"958,5";"957,9";"2,7";"106,0";"5,8";"2167,60";"0,0"
"19/07/2026";"1900";"28,3";"28,8";"28,0";"30,0";"31,0";"28,0";"9,2";"9,8";"8,6";"957,6";"957,9";"957,6";"2,3";"66,0";"5,8";"1564,80";"0,0"
"19/07/2026";"2000";"27,3";"28,4";"27,3";"33,0";"33,0";"29,0";"9,6";"9,6";"8,4";"957,7";"957,7";"957,6";"1,3";"100,0";"4,9";"770,10";"0,0"
"19/07/2026";"2100";"22,4";"27,3";"22,4";"49,0";"49,0";"33,0";"11,2";"11,3";"9,6";"957,9";"957,9";"957,7";"0,9";"115,0";"3,5";"87,10";"0,0"
"19/07/2026";"2200";"20,4";"22,4";"18,8";"57,0";"68,0";"49,0";"11,7";"12,9";"11,1";"958,5";"958,5";"957,9";"1,7";"104,0";"3,2";"";"0,0"
"19/07/2026";"2300";"19,5";"21,4";"19,5";"58,0";"58,0";"52,0";"11,1";"11,5";"10,9";"959,1";"959,1";"958,5";"1,5";"115,0";"3,2";"";"0,0"
